coral_id,taxa_group,abundance
1,Alpheidae,7
1,Cerithiidae,2
1,Dialidae,4
1,Galatheidae,1
1,Gobiidae,8
1,Labridae,1
1,Muricidae,39
1,Palaemonidae,25
1,Pomacentridae,3
1,Trapeziidae,8
1,Triphoridae,1
1,Trochidae,2
1,hermit,9
1,tanaid,1
1,worm,9
2,Alpheidae,13
2,Cerithiidae,1
2,Columbellidae,1
2,Dialidae,5
2,Galatheidae,1
2,Gobiidae,4
2,Muricidae,2
2,Palaemonidae,5
2,Personidae,1
2,Pomacentridae,4
2,Trapeziidae,3
2,amphipod,1
2,hermit,9
2,worm,2
3,Alpheidae,14
3,Aristeidae,1
3,Asterinidae,1
3,Cerithiidae,2
3,Columbellidae,6
3,Dialidae,1
3,Echinometridae,5
3,Galatheidae,20
3,Gobiidae,10
3,Hippolytidae,1
3,Labridae,2
3,Leucosiidae,1
3,Mitridae,1
3,Muricidae,53
3,Palaemonidae,4
3,Pomacentridae,13
3,Rissoinidae,8
3,Trapeziidae,30
3,Trochidae,2
3,Xanthidae,4
3,amphipod,31
3,brittle,7
3,hermit,35
3,limpet,2
3,worm,9
4,Alpheidae,6
4,Columbellidae,2
4,Galatheidae,1
4,Gobiidae,9
4,Mitridae,1
4,Muricidae,9
4,Palaemonidae,65
4,Pomacentridae,20
4,Rissoinidae,1
4,Trapeziidae,14
4,amphipod,7
4,brittle,2
4,hermit,24
4,worm,2
5,Alpheidae,3
5,Columbellidae,6
5,Cystiscidae,1
5,Echinometridae,1
5,Galatheidae,1
5,Gobiidae,3
5,Mitridae,1
5,Muricidae,8
5,Palaemonidae,15
5,Pomacentridae,7
5,Trapeziidae,5
5,Xanthidae,1
5,brittle,2
5,hermit,9
5,tanaid,1
5,worm,1
6,Alpheidae,11
6,Dialidae,1
6,Galatheidae,2
6,Gobiidae,5
6,Labridae,1
6,Muricidae,3
6,Palaemonidae,60
6,Pomacentridae,15
6,Rissoinidae,2
6,Trapeziidae,7
6,Trochidae,1
6,Xanthidae,1
6,amphipod,1
6,hermit,21
6,worm,3
7,Alpheidae,8
7,Cerithiidae,1
7,Columbellidae,9
7,Dialidae,29
7,Echinometridae,1
7,Galatheidae,2
7,Gobiidae,2
7,Mitridae,2
7,Muricidae,28
7,Palaemonidae,146
7,Pomacentridae,18
7,Rissoinidae,3
7,Trapeziidae,5
7,Xanthidae,1
7,amphipod,4
7,brittle,1
7,hermit,18
7,limpet,1
7,worm,17
8,Alpheidae,10
8,Dialidae,1
8,Galatheidae,6
8,Gobiidae,2
8,Mangeliidae,1
8,Muricidae,4
8,Palaemonidae,35
8,Pomacentridae,15
8,Trapeziidae,3
8,Xanthidae,1
8,amphipod,3
8,hermit,20
8,worm,7
9,Alpheidae,6
9,Cerithiidae,1
9,Dialidae,2
9,Galatheidae,2
9,Gobiidae,5
9,Muricidae,2
9,Palaemonidae,29
9,Pomacentridae,5
9,Rissoinidae,1
9,Trapeziidae,5
9,Trochidae,1
9,hermit,14
9,tanaid,1
10,Alpheidae,12
10,Cerithiidae,1
10,Columbellidae,1
10,Cypraeidae,1
10,Eulimidae,1
10,Gobiidae,7
10,Labridae,1
10,Muricidae,4
10,Palaemonidae,51
10,Pomacentridae,18
10,Rissoinidae,1
10,Trapeziidae,19
10,amphipod,1
10,brittle,1
10,hermit,14
11,Alpheidae,19
11,Cerithiidae,1
11,Columbellidae,3
11,Dialidae,4
11,Echinometridae,1
11,Galatheidae,4
11,Gobiidae,5
11,Haminoeidae,2
11,Mitridae,4
11,Muricidae,44
11,Palaemonidae,55
11,Pomacentridae,8
11,Rissoinidae,9
11,Trapeziidae,12
11,Trochidae,1
11,Xanthidae,1
11,amphipod,7
11,brittle,2
11,hermit,54
11,tanaid,1
11,worm,11
12,Alpheidae,7
12,Costellariidae,1
12,Dialidae,5
12,Gobiidae,1
12,Muricidae,12
12,Palaemonidae,5
12,Pomacentridae,2
12,Trapeziidae,3
12,Xanthidae,1
12,Zebinidae,1
12,amphipod,2
12,hermit,10
12,worm,1
13,Alpheidae,6
13,Columbellidae,5
13,Dialidae,1
13,Disciadidae,1
13,Echinometridae,1
13,Galatheidae,4
13,Gobiidae,5
13,Labridae,1
13,Mitridae,2
13,Muricidae,5
13,Palaemonidae,49
13,Pomacentridae,11
13,Portunidae,1
13,Rissoinidae,2
13,Trapeziidae,10
13,Xanthidae,1
13,amphipod,2
13,bivalve,2
13,hermit,16
13,limpet,1
13,worm,4
14,Alpheidae,6
14,Columbellidae,3
14,Costellariidae,1
14,Galatheidae,1
14,Gobiidae,3
14,Haminoeidae,4
14,Mitridae,2
14,Muricidae,23
14,Palaemonidae,66
14,Pomacentridae,15
14,Rissoinidae,1
